"";"LETO";"DEJAVNOST";"REGIJA";"SKUPNO"
"219";"2015";"B RUDARSTVO";"Savinjska";26761,08
"220";"2015";"B RUDARSTVO";"Zasavska";22015,95
"221";"2015";"C PREDELOVALNE DEJAVNOSTI";"Gorenjska";19124,96
"222";"2015";"C PREDELOVALNE DEJAVNOSTI";"Goriška";16922,13
"223";"2015";"C PREDELOVALNE DEJAVNOSTI";"Jugovzhodna Slovenija";20158,25
"224";"2015";"C PREDELOVALNE DEJAVNOSTI";"Koroška";17470,87
"225";"2015";"C PREDELOVALNE DEJAVNOSTI";"Osrednjeslovenska";21562,65
"226";"2015";"C PREDELOVALNE DEJAVNOSTI";"Podravska";15841,54
"227";"2015";"C PREDELOVALNE DEJAVNOSTI";"Pomurska";15920,01
"228";"2015";"C PREDELOVALNE DEJAVNOSTI";"Posavska";16082,86
"229";"2015";"C PREDELOVALNE DEJAVNOSTI";"Primorsko-notranjska";15677,54
"230";"2015";"C PREDELOVALNE DEJAVNOSTI";"Savinjska";17160,45
"231";"2015";"C PREDELOVALNE DEJAVNOSTI";"Zasavska";15981,53
"232";"2015";"D OSKRBA Z ELEKTRICNO ENERGIJO, PLINOM IN PARO";"Gorenjska";25618,14
"233";"2015";"D OSKRBA Z ELEKTRICNO ENERGIJO, PLINOM IN PARO";"Goriška";26247,75
"234";"2015";"D OSKRBA Z ELEKTRICNO ENERGIJO, PLINOM IN PARO";"Jugovzhodna Slovenija";31246,95
"235";"2015";"D OSKRBA Z ELEKTRICNO ENERGIJO, PLINOM IN PARO";"Koroška";23309,2
"236";"2015";"D OSKRBA Z ELEKTRICNO ENERGIJO, PLINOM IN PARO";"Osrednjeslovenska";29005,29
"237";"2015";"D OSKRBA Z ELEKTRICNO ENERGIJO, PLINOM IN PARO";"Podravska";26647,15
"238";"2015";"D OSKRBA Z ELEKTRICNO ENERGIJO, PLINOM IN PARO";"Pomurska";19933,81
"239";"2015";"D OSKRBA Z ELEKTRICNO ENERGIJO, PLINOM IN PARO";"Posavska";35113,77
"240";"2015";"D OSKRBA Z ELEKTRICNO ENERGIJO, PLINOM IN PARO";"Primorsko-notranjska";27620,91
"241";"2015";"D OSKRBA Z ELEKTRICNO ENERGIJO, PLINOM IN PARO";"Savinjska";25847,08
"242";"2015";"D OSKRBA Z ELEKTRICNO ENERGIJO, PLINOM IN PARO";"Zasavska";23465,11
"243";"2015";"E OSKRBA Z VODO, RAVNANJE Z ODPLAKAMI IN ODPADKI, SANIRANJE OKOLJA";"Gorenjska";18418,85
"244";"2015";"E OSKRBA Z VODO, RAVNANJE Z ODPLAKAMI IN ODPADKI, SANIRANJE OKOLJA";"Goriška";18449,91
"245";"2015";"E OSKRBA Z VODO, RAVNANJE Z ODPLAKAMI IN ODPADKI, SANIRANJE OKOLJA";"Jugovzhodna Slovenija";18902,08
"246";"2015";"E OSKRBA Z VODO, RAVNANJE Z ODPLAKAMI IN ODPADKI, SANIRANJE OKOLJA";"Koroška";16089,71
"247";"2015";"E OSKRBA Z VODO, RAVNANJE Z ODPLAKAMI IN ODPADKI, SANIRANJE OKOLJA";"Osrednjeslovenska";18797,11
"248";"2015";"E OSKRBA Z VODO, RAVNANJE Z ODPLAKAMI IN ODPADKI, SANIRANJE OKOLJA";"Podravska";17888,66
"249";"2015";"E OSKRBA Z VODO, RAVNANJE Z ODPLAKAMI IN ODPADKI, SANIRANJE OKOLJA";"Pomurska";16392,41
